,Clusters,Error,Validation Error,Test Error
17,80,1.4786466027685028,1.482350293596334,1.4982621391957776
18,90,1.484803258559306,1.4880444688982468,1.494427196289964
16,70,1.4960679385931273,1.4890949206178046,1.506337114473912
15,60,1.5009698930597348,1.5150336590549258,1.5139975307535112
14,50,1.5146941030926666,1.5205650411093423,1.5327334181249275
11,25,1.5500809119263068,1.5727097396072742,1.5797443742526398
13,40,1.551164433286192,1.5790625652142674,1.5811272716259444
12,30,1.5873385549278463,1.600122801998579,1.6137483228350156
10,20,1.6891201428636837,1.6793284541991074,1.7267132938691476
19,100,1.7675399227017745,1.7677047063728206,1.7733030509078413
9,15,1.8195435123550479,1.794506548412071,1.8472703716996828
7,8,2.3788042509519753,2.530058416831612,2.4383273946267927
8,9,2.40698302622648,2.547081950873313,2.462118103774218
5,6,2.4304479968384305,2.5597464491944515,2.476316488682445
6,7,2.4298602231553885,2.566056029834972,2.481723947677985
4,5,2.7067519959287094,2.8226064008727776,2.676863039507757
2,3,2.859096836382826,2.978122228543568,2.82211167682771
3,4,2.9065857916074465,3.0338315301641234,2.8730126914510805
1,2,2.924890328149503,3.0360920766994552,2.8823578928021396
0,1,2.971388070141619,3.0780027509760797,2.932669913831133
